operator,implementation,size,sim_seconds,sim_ticks,cycles,instructions,operations,ipc,l1i_hits,l1i_misses,l1d_hits,l1d_misses,l1d_accesses,l1d_miss_rate,l2_hits,l2_misses
gemm,scalar,32,0.000274000,273992000.000000000,273992.000000000,206173.000000000,206173.000000000,0.752478175,207296.000000000,2.000000000,66562.000000000,0.000000000,66562.000000000,0.000000000,,2.000000000
gemm,scalar,64,0.002144000,2144059000.000000000,2144059.000000000,1610397.000000000,1610397.000000000,0.751097335,1614688.000000000,2.000000000,528321.000000000,65.000000000,528386.000000000,0.000123016,562.000000000,2.000000000
gemm,scalar,128,0.020953000,20953473000.000000000,20953473.000000000,12731677.000000000,12731677.000000000,0.607616551,12748448.000000000,2.000000000,3903631.000000000,307059.000000000,4210690.000000000,0.072923678,2193469.000000000,2.000000000
gemm,scalar,256,0.332777000,332776734000.000000000,332776734.000000000,101255709.000000000,101255709.000000000,0.304275205,101322016.000000000,2.000000000,28694015.000000000,4925955.000000000,33619970.000000000,0.146518721,11495180.000000000,5432126.000000000
gemm,scalar,528,2.606903000,2606903057000.000000000,2606903057.000000000,885702077.000000000,885702077.000000000,0.339752594,885982448.000000000,2.000000000,208737160.000000000,85937530.000000000,294674690.000000000,0.291635261,106923928.000000000,9214593.000000000
